A->B	B->A	C->D	D->C	E->F	F->E	G->H	H->G	I->J	J->I
16	16	11	17	12	11	18	18	20	19
16	16	11	17	12	11	19	18	20	19
16	16	11	17	12	11	19	18	20	19
16	16	11	17	12	11	19	18	20	19
16	16	11	17	12	11	19	18	20	19
16	16	11	17	12	11	18	18	20	19
16	16	11	17	12	11	18	18	20	19
16	16	11	17	12	11	18	18	20	19
16	16	11	17	12	11	19	18	20	19
16	16	11	17	12	11	18	18	20	19
16	16	11	17	12	11	19	18	20	19
16	16	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	16	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	18	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	18	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	17	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	18	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	19	18	20	19
15	15	11	17	12	11	18	18	20	19
15	15	11	17	12	11	18	18	20	19
